Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,63,0.260569603
3.5,87,0.288103414
3.75,116,0.312318328
4,148,0.328333372
4.25,185,0.34216708
4.5,226,0.352130937
4.75,273,0.361672179
5,324,0.36801734
5.25,381,0.373835337
5.5,443,0.378049739
5.75,512,0.382384
6,586,0.385191903
6.25,667,0.387899363
6.5,755,0.390337401
6.75,850,0.392410746
7,952,0.394072486
7.25,1062,0.395679711
7.5,1180,0.397128908
7.75,1306,0.398355992
8,1440,0.399324371
8.25,1583,0.400269367
8.5,1734,0.400890349
8.75,1895,0.401622782
9,2065,0.402184948
9.25,2245,0.402739691
9.5,2436,0.403403585
9.75,2550,0.390624625
10,2550,0.362054096
10.25,2550,0.33620322
10.5,2550,0.312755941
10.75,2550,0.291439271
11,2550,0.272016601
11.25,2550,0.254282164
11.5,2550,0.238056445
11.75,2550,0.22318236
12,2550,0.209522046
12.25,2550,0.196954179
12.5,2550,0.185371697
12.75,2550,0.174679891
13,2550,0.164794764
13.25,2550,0.155641652
13.5,2550,0.14715403
13.75,2550,0.1392725
14,2550,0.131943913
14.25,2550,0.125120616
14.5,2550,0.1187598
14.75,2550,0.112822938
15,2550,0.107275288
15.25,2550,0.10208547
15.5,2550,0.097225094
15.75,2550,0.092668427
16,2550,0.088392113
16.25,2550,0.084374919
16.5,2550,0.080597511
16.75,2550,0.077042263
17,2550,0.073693079
17.25,2550,0.070535243
17.5,2550,0.067555283
17.75,2550,0.064740849
18,2550,0.062080606
18.25,2550,0.059564138
18.5,2550,0.05718186
18.75,2550,0.054924947
19,2550,0.05278526
19.25,2550,0.050755284
19.5,2550,0.048828078
19.75,2550,0.04699722
20,2550,0.045256762
20.25,2550,0.043601194
20.5,2550,0.042025403
20.75,2550,0.04052464
21,2550,0.039094493
21.25,2550,0.037730856
21.5,2550,0.036429909
21.75,2550,0.035188089
22,2550,0.034002075
22.25,2550,0.032868768
22.5,2550,0.03178527
22.75,2550,0.030748877
23,2550,0.029757056
23.25,2550,0.028807435
23.5,2550,0.027897795
23.75,2550,0.027026053
24,2550,0.026190256
24.25,2550,0.02538857
24.5,2550,0.024619272
24.75,2550,0.023880744
25,0,0
25.25,0,0
25.5,0,0
25.75,0,0
26,0,0
26.25,0,0
26.5,0,0
26.75,0,0
27,0,0
27.25,0,0
27.5,0,0
27.75,0,0
28,0,0
28.25,0,0
28.5,0,0
28.75,0,0
29,0,0
29.25,0,0
29.5,0,0
29.75,0,0
30,0,0
30.25,0,0
30.5,0,0
30.75,0,0
31,0,0
31.25,0,0
31.5,0,0
31.75,0,0
32,0,0
32.25,0,0
32.5,0,0
32.75,0,0
33,0,0
33.25,0,0
33.5,0,0
33.75,0,0
34,0,0
34.25,0,0
34.5,0,0
34.75,0,0
35,0,0
35.25,0,0
35.5,0,0
35.75,0,0
36,0,0
36.25,0,0
36.5,0,0
36.75,0,0
37,0,0
37.25,0,0
37.5,0,0
37.75,0,0
38,0,0
38.25,0,0
38.5,0,0
38.75,0,0
39,0,0
39.25,0,0
39.5,0,0
39.75,0,0
40,0,0
